building_size,land_size,price,bedroom_count,bathroom_count,parking_count,property_type,product_depth
210.0,804.0,435000.0,2.0,1.0,1.0,House,premiere
171.0,178.0,320000.0,3.0,2.0,2.0,Apartment,premiere
107.0,153.0,310000.0,2.0,1.0,1.0,Unit,premiere
210.0,804.0,259000.0,1.0,1.0,0.0,House,premiere
201.0,153.0,439000.0,3.0,2.0,2.0,Unit,premiere
218.0,178.0,825000.0,3.0,2.0,2.0,Apartment,premiere
107.0,153.0,820000.0,3.0,2.0,2.0,Unit,premiere
107.0,105.0,369000.0,2.0,1.0,1.0,Unit,premiere
107.0,153.0,439000.0,2.0,2.0,1.0,Unit,premiere
135.0,178.0,455000.0,2.0,2.0,1.0,Apartment,premiere
135.0,178.0,280000.0,1.0,1.0,1.0,Apartment,premiere
135.0,178.0,450000.0,3.0,2.0,2.0,Apartment,premiere
173.0,153.0,439000.0,2.0,2.0,2.0,Unit,premiere
236.0,804.0,775000.0,3.0,2.0,2.0,House,premiere
181.0,178.0,625000.0,3.0,2.0,2.0,Apartment,premiere
107.0,153.0,599000.0,2.0,2.0,2.0,Unit,premiere
69.0,178.0,490000.0,1.0,1.0,1.0,Apartment,premiere
62.0,153.0,337500.0,1.0,1.0,0.0,Unit,premiere
107.0,153.0,377500.0,1.0,1.0,0.0,Unit,premiere
138.0,804.0,439000.0,2.0,2.0,1.0,House,premiere
135.0,178.0,450000.0,3.0,2.0,2.0,Apartment,premiere
114.0,178.0,640000.0,2.0,2.0,2.0,Apartment,premiere
135.0,93.0,500000.0,1.0,1.0,1.0,Apartment,premiere
107.0,53.0,377500.0,1.0,1.0,1.0,Unit,premiere
107.0,153.0,377500.0,1.0,1.0,1.0,Unit,premiere
340.0,340.0,795000.0,3.0,3.0,4.0,Unit,premiere
210.0,804.0,485000.0,2.0,2.0,2.0,House,premiere
51.0,153.0,250000.0,1.0,1.0,1.0,Unit,premiere
135.0,178.0,549000.0,2.0,2.0,2.0,Apartment,premiere
48.0,178.0,299000.0,1.0,1.0,1.0,Apartment,premiere
135.0,146.0,395000.0,3.0,1.0,1.0,Apartment,premiere
107.0,153.0,377500.0,1.0,1.0,1.0,Unit,premiere
107.0,127.0,475000.0,2.0,2.0,2.0,Unit,premiere
140.0,153.0,377500.0,2.0,2.0,2.0,Unit,premiere
210.0,804.0,555000.0,2.0,2.0,2.0,House,premiere
81.0,178.0,465000.0,1.0,1.0,1.0,Apartment,premiere
135.0,178.0,600000.0,3.0,2.0,2.0,Apartment,premiere
135.0,181.0,450000.0,3.0,2.0,2.0,Apartment,premiere
81.0,81.0,450000.0,1.0,1.0,1.0,House,premiere
135.0,178.0,749000.0,3.0,2.0,2.0,Apartment,premiere
135.0,238.0,450000.0,3.0,3.0,2.0,Apartment,premiere
107.0,153.0,289000.0,1.0,1.0,1.0,Unit,premiere
135.0,178.0,490000.0,2.0,2.0,2.0,Apartment,premiere
135.0,178.0,450000.0,3.0,2.0,2.0,Apartment,premiere
107.0,153.0,565000.0,2.0,2.0,2.0,Unit,premiere
130.0,178.0,399000.0,2.0,2.0,2.0,Apartment,premiere
135.0,192.0,469000.0,3.0,2.0,2.0,Apartment,premiere
135.0,253.0,649000.0,4.0,2.0,2.0,Apartment,premiere
107.0,153.0,499000.0,1.0,1.0,1.0,Unit,feature
135.0,178.0,400000.0,2.0,2.0,1.0,Apartment,premiere
135.0,260.0,800000.0,3.0,2.0,2.0,Apartment,premiere
93.0,153.0,377500.0,1.0,1.0,1.0,Unit,premiere
53.0,178.0,299000.0,1.0,1.0,1.0,Apartment,premiere
107.0,74.0,580000.0,1.0,1.0,1.0,Unit,standard
138.0,178.0,375000.0,2.0,2.0,2.0,Apartment,premiere
135.0,178.0,489000.0,2.0,2.0,1.0,Apartment,feature
107.0,52.0,195000.0,1.0,1.0,1.0,Unit,premiere
135.0,101.0,505000.0,2.0,2.0,2.0,Apartment,premiere
135.0,178.0,325000.0,2.0,2.0,2.0,Apartment,feature
135.0,178.0,539000.0,2.0,2.0,1.0,Apartment,standard
135.0,178.0,180000.0,1.0,1.0,0.0,Apartment,feature
198.0,178.0,450000.0,3.0,2.0,2.0,Apartment,premiere
33.0,153.0,145000.0,1.0,1.0,0.0,Unit,standard
135.0,178.0,215000.0,1.0,1.0,1.0,Apartment,feature
135.0,178.0,450000.0,2.0,2.0,1.0,Apartment,standard
135.0,120.0,400000.0,2.0,2.0,1.0,Apartment,premiere
107.0,154.0,369000.0,2.0,2.0,2.0,Unit,premiere
66.0,178.0,350000.0,1.0,1.0,1.0,Apartment,feature
107.0,153.0,549000.0,3.0,2.0,2.0,Unit,premiere
135.0,221.0,539000.0,2.0,2.0,1.0,Apartment,standard
83.0,178.0,450000.0,1.0,1.0,0.0,Apartment,premiere
110.0,178.0,490000.0,2.0,2.0,1.0,Apartment,premiere
135.0,178.0,209000.0,1.0,1.0,1.0,Apartment,feature
135.0,158.0,420000.0,2.0,2.0,2.0,Apartment,premiere
150.0,153.0,377500.0,2.0,2.0,2.0,Unit,standard
107.0,153.0,510000.0,3.0,2.0,2.0,Unit,standard
107.0,153.0,377500.0,3.0,2.0,2.0,Unit,premiere
107.0,153.0,535000.0,2.0,2.0,2.0,Unit,premiere
107.0,66.0,335000.0,1.0,1.0,1.0,Unit,feature
153.0,178.0,450000.0,2.0,2.0,1.0,Apartment,premiere
135.0,178.0,850000.0,4.0,2.0,2.0,Apartment,feature
135.0,178.0,450000.0,3.0,2.0,2.0,Apartment,feature
80.0,92.0,580000.0,2.0,2.0,2.0,Unit,premiere
135.0,178.0,470000.0,3.0,2.0,1.0,Apartment,feature
135.0,117.0,539000.0,2.0,2.0,1.0,Apartment,feature
107.0,153.0,519000.0,2.0,2.0,2.0,Unit,premiere
107.0,50.0,219000.0,1.0,1.0,1.0,Unit,premiere
135.0,178.0,235000.0,1.0,1.0,1.0,Apartment,feature
135.0,178.0,315000.0,1.0,1.0,1.0,Apartment,feature
107.0,153.0,450000.0,3.0,2.0,2.0,Unit,feature
200.0,178.0,450000.0,3.0,2.0,2.0,Apartment,standard
135.0,178.0,380000.0,2.0,2.0,0.0,Apartment,standard
135.0,178.0,275000.0,2.0,1.0,1.0,Apartment,feature
107.0,153.0,270000.0,1.0,1.0,1.0,Unit,feature
107.0,125.0,377500.0,3.0,2.0,0.0,Unit,feature
210.0,209.0,550000.0,3.0,2.0,1.0,House,feature
135.0,178.0,450000.0,2.0,2.0,2.0,Apartment,feature
107.0,153.0,380000.0,1.0,1.0,1.0,Unit,feature
135.0,92.0,450000.0,2.0,2.0,0.0,Apartment,feature
135.0,178.0,539000.0,2.0,2.0,1.0,Apartment,feature
135.0,178.0,165000.0,1.0,1.0,1.0,Apartment,feature
135.0,178.0,589000.0,3.0,2.0,2.0,Apartment,standard
18.0,178.0,360000.0,2.0,2.0,2.0,Apartment,standard
135.0,163.0,430000.0,3.0,2.0,2.0,Apartment,standard
135.0,243.0,839000.0,3.0,2.0,2.0,Apartment,standard
33.0,153.0,147000.0,1.0,1.0,0.0,Unit,feature
107.0,54.0,270000.0,2.0,1.0,1.0,Unit,feature
231.0,153.0,795000.0,3.0,2.0,2.0,Unit,feature
107.0,153.0,430000.0,2.0,2.0,1.0,Unit,feature
213.0,178.0,450000.0,3.0,3.0,3.0,Apartment,feature
107.0,135.0,377500.0,2.0,2.0,2.0,Unit,feature
183.0,153.0,377500.0,2.0,2.0,2.0,Unit,feature
135.0,144.0,529000.0,2.0,2.0,1.0,Apartment,feature
135.0,178.0,460000.0,1.0,1.0,1.0,Apartment,feature
107.0,153.0,195000.0,1.0,1.0,1.0,Unit,feature
135.0,211.0,479000.0,3.0,2.0,2.0,Apartment,feature
107.0,153.0,295000.0,2.0,1.0,1.0,Unit,feature
135.0,178.0,370000.0,1.0,1.0,1.0,Apartment,feature
107.0,153.0,520000.0,3.0,2.0,2.0,Unit,feature
135.0,178.0,449000.0,2.0,2.0,0.0,Apartment,feature
135.0,178.0,525000.0,2.0,2.0,2.0,Apartment,feature
135.0,178.0,450000.0,1.0,1.0,1.0,Apartment,feature
135.0,178.0,500000.0,3.0,2.0,1.0,Apartment,premiere
107.0,153.0,377500.0,3.0,2.0,2.0,Unit,feature
186.0,178.0,595000.0,2.0,2.0,2.0,Apartment,standard
135.0,178.0,190000.0,1.0,1.0,1.0,Apartment,feature
111.0,178.0,450000.0,2.0,2.0,2.0,Apartment,feature
135.0,178.0,450000.0,4.0,2.0,2.0,Apartment,feature
107.0,153.0,377500.0,1.0,1.0,1.0,Unit,standard
135.0,178.0,389000.0,2.0,2.0,2.0,Apartment,standard
99.0,178.0,370000.0,2.0,2.0,0.0,Apartment,feature
135.0,178.0,175000.0,1.0,1.0,1.0,Apartment,feature
81.0,178.0,450000.0,1.0,1.0,1.0,Apartment,feature
107.0,153.0,329000.0,2.0,2.0,1.0,Unit,feature
135.0,94.0,450000.0,1.0,1.0,0.0,Apartment,feature
135.0,178.0,279000.0,1.0,1.0,0.0,Apartment,standard
107.0,153.0,500000.0,2.0,2.0,0.0,Unit,feature
135.0,178.0,280000.0,2.0,1.0,1.0,Apartment,standard
135.0,178.0,800000.0,3.0,2.0,2.0,Apartment,standard
135.0,184.0,449000.0,3.0,2.0,1.0,Apartment,feature
135.0,178.0,455000.0,2.0,2.0,2.0,Apartment,standard
135.0,178.0,450000.0,2.0,2.0,1.0,Apartment,feature
158.0,153.0,685000.0,2.0,2.0,2.0,Unit,standard
107.0,153.0,289000.0,2.0,2.0,1.0,Unit,feature
135.0,106.7,429000.0,2.0,2.0,2.0,Apartment,standard
172.0,178.0,559000.0,2.0,2.0,1.0,Apartment,standard
54.0,54.0,377500.0,1.0,1.0,1.0,Unit,feature
135.0,178.0,450000.0,2.0,2.0,2.0,Apartment,feature
76.0,178.0,300000.0,1.0,1.0,0.0,Apartment,feature
98.0,128.0,499000.0,2.0,2.0,1.0,Unit,standard
135.0,264.0,450000.0,4.0,3.0,2.0,Apartment,feature
107.0,153.0,480000.0,3.0,2.0,2.0,Unit,standard
78.0,153.0,325000.0,2.0,2.0,2.0,Unit,feature
192.0,153.0,377500.0,3.0,2.0,2.0,Unit,standard
107.0,153.0,440000.0,1.0,1.0,1.0,Unit,standard
107.0,153.0,377500.0,2.0,2.0,2.0,Unit,feature
107.0,153.0,310000.0,2.0,1.0,0.0,Unit,standard
48.0,153.0,377500.0,1.0,1.0,1.0,Unit,standard
107.0,198.0,399000.0,1.0,1.0,2.0,Unit,standard
107.0,153.0,430000.0,1.0,1.0,1.0,Unit,feature
12.0,153.0,99950.0,0.0,1.0,1.0,Unit,standard
248.0,178.0,450000.0,3.0,2.0,2.0,Apartment,standard
114.0,153.0,610000.0,2.0,2.0,2.0,Unit,standard
